Name,ID,InjuriesPerTurtle,Date,CCL min (cm),CCL max (cm),Body Part ,Injury Type ,Injury Stage,Nature,Source
,,,,,,,,,,
Beans ,1178,0,5/17/2019,114.9,115.5,N/A,N/A,N/A,4,N/A
Kale,1192,1,6/13/19,102.5,103.4,Carapace,Depression,Healded/Scar,2,Shark
Avocado ,1225,0,6/21/19,101.4,101.5,N/A,N/A,N/A,4,N/A
Athena ,1187,1,5/29/19,105,,Carapce,Amputation,Healed/scar,3,
Broccoli,1189,0,5/30/19,102.7,103.1,N/A,N/A,N/A,4,N/A
Pickles,1342,0,7/3/19,109.2,109.2,N/A,N/A,N/A,4,N/A
Argula ,1343,0,7/3/19,102.8,103.3,N/A,N/A,N/A,4,N/A
Cucumber,1344,0,7/3/19,109.7,109.7,N/A,N/A,N/A,4,N/A
Spinach ,1463,0,7/11/19,103.9,104.5,N/A,N/A,N/A,4,N/A
Artichoke ,1461,0,7/11/19,110.2,111.1,N/A,N/A,N/A,4,N/A
Celery ,1476,0,7/15/19,104.3,104.8,N/A,N/A,N/A,4,N/A
Cabbage,1479,0,7/16/19,104.8,105.2,N/A,N/A,N/A,4,N/A
Edamame,1480,0,7/16/19,104.2,104.4,N/A,N/A,N/A,4,N/A
Jalapeno,1514,0,7/18/19,105.8,105.8,N/A,N/A,N/A,4,N/A
Zucchini ,1515,0,7/19/19,98.1,98.6,N/A,N/A,N/A,4,N/A
Olive ,1516,0,7/19/19,111.7,112.1,N/A,N/A,N/A,4,N/A
Basil ,1517,1,7/19/19,113.4,114,Carapce,Ampuation ,Healed/Scar,3,
Asparagus ,1485,0,6/29/19,,,N/A,N/A,N/A,4,N/A
Cilantro ,1519,0,7/25/19,101.5,102.6,N/A,N/A,N/A,4,N/A
Apple ,1520,0,7/25/19,100,101,N/A,N/A,N/A,4,N/A
BokChoy,1521,0,7/25/19,99.7,100.1,N/A,N/A,N/A,4,N/A
Brussel,1522,0,7/26/19,101.2,101.3,N/A,N/A,N/A,4,N/A
Honeydew,1523,0,7/26/19,101.7,102.1,N/A,N/A,N/A,4,N/A
Watermelon,1524,0,7/25/19,105.4,106.6,N/A,N/A,N/A,4,N/A
Cat/Oat?,758,0,7/26,105,105.2,N/A,N/A,N/A,4,N/A
Bay Leaf,1528,0,7/30/19,103.4,104,N/A,N/A,N/A,4,N/A
Gabra,1532,0,7/31/19,105.9,106.7,N/A,N/A,N/A,4,N/A
Avoacdo (again),1225,0,8/5/19,,,N/A,N/A,N/A,4,N/A
Kiefer,756,0,8/5/19,112.1,112.2,N/A,N/A,N/A,4,N/A
Endive,1533,0,8/5/19,105.5,106.8,N/A,N/A,N/A,4,N/A
Kiwi,1534,0,8/6/19,101.5,102,N/A,N/A,N/A,4,N/A
Sweet Pea,1535,0,8/6/19,108.1,108.5,N/A,N/A,N/A,4,N/A
Leek,1537,0,8/6/19,106.1,106.1,N/A,N/A,N/A,4,N/A
Rosemary,1538,0,8/6/19,107.6,108.4,N/A,N/A,N/A,4,N/A
Parsley,1539,0,8/6/19,106,,N/A,N/A,N/A,4,N/A
Justine,719,1,8/8/2019,113.7,114.5,Right Shoulder/Appendage,Hook ,Unknown,1,Fishing Hook 
Olive ,1516,0,8/8/19,,,N/A,N/A,N/A,4,N/A
Hudson,1540,0,8/7/19,102.3,102.5,N/A,N/A,N/A,4,N/A
Ballard,1541,1,8/8/19,106.1,107,N/A,N/A,N/A,2,Mating Scars
Tomatillo ,1542,0,8/7/19,102.8,103,N/A,N/A,N/A,4,N/A
Honda,1544,0,8/8/19,106.4,107,N/A,N/A,N/A,4,N/A
Holly,1545,0,8/9/19,114,114.8,N/A,N/A,N/A,4,N/A
Sprout,1546,0,8/9/19,109.6,110,N/A,N/A,N/A,4,N/A
Soursop,1079,0,8/13/19,100.5,100.9,N/A,N/A,N/A,4,N/A
Joey ,1547,0,8/12/19,99.7,101.5,N/A,N/A,N/A,4,N/A
Georgle,1548,0,8/13/19,97.1,97.6,N/A,N/A,N/A,4,N/A
Hubble,1549,0,8/13,105,105.5,N/A,N/A,N/A,4,N/A
Pear,1550,0,8/13/19,110,110,N/A,N/A,N/A,4,N/A
Lime,1551,0,8/13/19,101.7,102.5,N/A,N/A,N/A,4,N/A
Avocado (x3),1225,1,8/15/19,101.9,102,Left upper jaw (head/face),Mass ,Unknown,3,N/A
Fihito ,1552,0,8/15/19,113.9,114.5,N/A,N/A,N/A,4,N/A
Clover,1604,1,5/19/20,105,105.3,CAR,Depression,Healing (yellow),2,Social/Behavior
Surge,1606,2,5/24/20,99.5,100,Head,LAC,Healing (yellow),2,Social/Behavior
Surge 2,1606,,,,,CAR,LAC,Healing (yellow),,Social/Behavior
Froggy,1607,0,5/26/20,106.6,107.2,N/A,N/A,N/A,4,N/A
Grass,1608,0,5/27/20,107.5,108,N/A,N/A,N/A,4,N/A
Gumby,1609,0,5/27/20,105.8,106.1,N/A,N/A,N/A,4,N/A
Emerald,1610,1,5/27/20,106,106,CAR,Unknown,Healed,3,N/A
Verde,942,0,5/30/20,116.5,116.7,N/A,N/A,N/A,4,N/A
Grass (again),1608,0,5/31/20,106.4,106.4,N/A,N/A,N/A,4,N/A
Shrele,1614,0,6/2/20,101.4,101.6,N/A,N/A,N/A,4,N/A
Seafoam,1620,0,6/3/20,104.5,105.3,N/A,N/A,N/A,4,N/A
Tiffany ,1625,0,6/5/20,95.5,95.6,N/A,N/A,N/A,4,N/A
Jimmy,1628,1,6/8/20,99.5,100,"Head, RFF, LFF (front flippers)",LAC,Healing (yelllow),2,Social/Behavior
Carola,1630,1,6/9/20,104.7,105,CAR,Unknown,Unknown,3,N/A
Cheryl,1631,1,6/10/20,109,109.5,"Head, CAR",Unknown,Unknown,2,Social/Behavior
Green,931,0,6/11/20,101,103,N/A,N/A,N/A,4,N/A
Firefly,1634,0,6/10/20,93,96.2,N/A,N/A,N/A,4,N/A
Mastronardi,1635,1,6/12/20,105.2,106,CAR,DEP,Unknown,2,Social/Behavior
Uno,1638,4,6/14/20,115.5,115.9,RFF,AMP,Healed/scar,3,
Uno 2,,,,,,RRF,AMP,Healed/scar,3,
Uno 3,,,,,,CAR,DEP,Healed/scar,1,Fishing.
Uno 4,,,,,,LFF,LAC,Healed/scar,1,Fishing.
Terry Anne,1094,0,6/16/20,103.4,104.8,N/A,N/A,N/A,4,N/A
Noel ,1644,0,6/16/20,99,99.6,N/A,N/A,N/A,4,N/A
Cmal ,1645,0,6/17/20,109,109.7,N/A,N/A,N/A,4,N/A
Froggy (2),1607,0,6/19/20,104.9,105.6,N/A,N/A,N/A,4,N/A
Seafoam (2),1620,1,6/18/20,,,CAR,LAC,Fresh/not bleeding,1,Boat
Matona,1648,0,6/18/20,106.6,106.7,N/A,N/A,N/A,4,N/A
Kermit,1650,0,6/19/20,103.5,103.9,N/A,N/A,N/A,4,N/A
Peg,1651,1,6/19/20,99.1,99.2,LRF,AMP,Healed/scar,3,
Verde (2),942,0,6/22/20,117,117,N/A,N/A,N/A,4,N/A
Ginger,1654,0,6/19/20,110.3,110.9,N/A,N/A,N/A,4,N/A
Wheezy ,1635,0,6/20/20,108.9,109.4,N/A,N/A,N/A,4,N/A
Bleu,1656,0,6/19/20,98.2,98.7,N/A,N/A,N/A,4,N/A
Yelleauy ,1663,1,6/22/20,114.4,114.4,"RFF, LFF",LAC,Unknown,2,Social/Behavior 
Yasmine ,1669,0,6/22/20,100.4,101.8,N/A,N/A,N/A,4,N/A
Monticello ,1673,1,6/23/20,123,123.5,CAR,NCH,Unknown,3,
Itchy ,1677,0,6/23/20,100.4,100,N/A,N/A,N/A,4,N/A
Scratchy ,1678,0,6/23/20,84.9,85.7,N/A,N/A,N/A,4,N/A
Ale,1688,0,6/24/20,102.3,102.6,N/A,N/A,N/A,4,N/A
Dew,1694,1,6/24/20,108.3,109.7,CAR,LAC,Helead/scar,2,Social/Behavior 
Micayla ,1696,0,6/26/20,107.7,108,N/A,N/A,N/A,4,N/A
Arethra Franklin,1099,0,6/25/20,112.6,112.9,N/A,N/A,N/A,4,N/A
Tourmaline,1707,0,6/28/20,107.6,107,N/A,N/A,N/A,4,N/A
Collard,1712,0,6/29/20,96.3,96.6,N/A,N/A,N/A,4,N/A
Darrea,1717,0,6/30/20,115,113.6,N/A,N/A,N/A,4,N/A
Sapphine,1719,0,6/30/20,107.7,108.4,N/A,N/A,N/A,4,N/A
Lazy ,1731,1,7/1/20,101.7,102.2,CAR,LAC,Healing/yellow,2,Social/Behavior 
Itchy (2),1677,0,7/2/20,,,,,,,
Flo Rida,1748,0,7/13/20,103.4,103.9,N/A,N/A,N/A,4,N/A
Carola (2),1630,0,7/13/20,,,,,,4,
Patrick ,1757,0,7/14/20,104.7,105,N/A,N/A,N/A,4,N/A
Parakeet ,1766,0,7/15/20,107.8,108.3,N/A,N/A,N/A,4,N/A
Froggy (2),1607,0,7/28/20,105.8,,,,,,
Ulna,1781,1,7/29/20,100,100.9,CAR,DEP,Helead/scar,3,Unknown 
Shamrock ,1784,1,7/30/20,109,109,CAR,LAC,Healing/yellow,2,Social/Behavior
Ireland,1785,1,7/30/20,101.5,102,CAR,LAC,Healing/yellow ,2,Social/Behavior
Fletch ,930,1,7/30/20,103.2,103.5,CAR,LAC,Healing/yellow,2,Social/Behavior
Ulrikke,1788,1,8/5/20,104.4,104.8,Head/CAR,LAC,Healing/yellow,2,Social/Behavior
Netta,1789,0,8/5/20,97.1,97.7,N/A,N/A,N/A,4,N/A
Aksel,1790,0,8/5/20,102,102,N/A,N/A,N/A,4,N/A
Fire Saga,1791,0,8/5/20,123,123.8,N/A,N/A,N/A,4,N/A
Conchita,1792,0,8/5/20,96.5,94.5,N/A,N/A,N/A,4,N/A
Lordi ,1793,0,8/6/20,97.7,98.4,N/A,N/A,N/A,4,N/A
Loreen ,1794,0,8/6/20,101.7,101.7,N/A,N/A,N/A,4,N/A
Emmelie,1795,0,8/6/20,103.6,103.6,N/A,N/A,N/A,4,N/A
Jamala,1796,1,8/6/20,106.7,107,LFF,LAC,Healing ,3,Unknown 
Crayola ,1797,1,8/4/20,107.5,107.9,CAR,LAC,Healed/scar,2,Social/Behavior
Kipp,1798,2,8/12/20,105.1,105.1,LRF,AMP,Helead/scar,3,Unknown 
Kipp 2,,,,,,CAR,LAC,Healing ,2,Social/Behavior
Zecca,1799,0,8/12/20,93.4,93.5,N/A,N/A,N/A,4,N/A
Misty ,1800,0,8/12/20,96.5,97.6,N/A,N/A,N/A,4,N/A
Daisy ,1801,0,8/13/20,101,102,N/A,N/A,N/A,4,N/A
Papaya,1802,0,8/13/20,102.9,103.8,N/A,N/A,N/A,4,N/A
Cauliflower,1963,0,5/27/21,111.5,111.8,N/A,N/A,N/A,4,N/A
Green Bean,1965,0,6/1/21,110.3,110.6,N/A,N/A,N/A,4,N/A
Jackfruit,1966,0,6/4/21,117.9,117.9,N/A,N/A,N/A,4,N/A
Sandhat,1979,1,6/21/21,107.4,107.4,CAR,Type 2,Healed/scar,2,Shark
Rorraine,1980,0,6/21/21,113.1,113.8,N/A,N/A,N/A,4,N/A
Green Bean (2),1965,0,6/27/21,,,N/A,N/A,N/A,4,N/A
Napa,2001,0,7/1/21,101.5,101.7,N/A,N/A,N/A,4,N/A
Nigel,2025,1,7/7/21,94.5,95.4,RRF,Type 1A,Healed/scar,3,Unknown
Allen ,2028,0,7/7/21,103.3,104.2,N/A,N/A,N/A,4,N/A
Josie,2031,0,7/8/21,102,102.7,N/A,N/A,N/A,4,N/A
Honeydew,1523,0,7/9/21,101.2,101.8,N/A,N/A,N/A,4,N/A
Corn,2034,0,7/9/21,116.2,116.5,N/A,N/A,N/A,4,N/A
Erin ,2035,2,7/9/21,106,105.2,CAR,Type 2A,Healed/scar,1,Boat
Erin 2,,,,,,RRF,Type 1A,Healed/scar,3,Unknown 
Jeff,2038,1,7/9/21,112.2,113.5,RFF,Type 1 ,Healed/scar,3,Unknown 
Butterhead,2039,1,7/13/21,,,CAR,Type 2A,Healed/scar,1,Boat
Moderna,2052,0,7/14/21,106.5,106.7,N/A,N/A,N/A,4,N/A
Vacutanier,2051,0,7/15/21,108.5,109,N/A,N/A,N/A,4,N/A
Charel,2057,0,7/16/21,94.4,95,N/A,N/A,N/A,4,N/A
Fin,2059,0,7/17/21,103,103.5,N/A,N/A,N/A,4,N/A
Grape,2063,0,7/19/21,90,90.2,N/A,N/A,N/A,4,N/A
Pear,1550,0,7/19/21,,,,,,4,
Skeeter,2071,0,7/20/21,109,109.2,N/A,N/A,N/A,4,N/A
Savoy,2072,0,7/21/21,103.1,103.4,N/A,N/A,N/A,4,N/A
Dill,2073,1,7/21/21,107.5,108.5,CAR,Type 2A,Healed/scar,1,Boat
Jen ,2074,0,7/21/21,103.8,103.5,N/A,N/A,N/A,4,N/A
Mary ,2076,1,7/22/21,102,102.5,LRF,Type 1,Healed/scar,3,Unknown
La,2077,0,7/22/21,101.8,102.4,N/A,N/A,N/A,4,N/A
Christina,721,1,7/27/21,110.4,110.7,RRF,Type 1,Healed/scar,3,Unknown
Prik ,2083,0,7/27/21,104.5,105.4,N/A,N/A,N/A,4,N/A
Serrano,2084,0,7/27/21,103.6,103.8,N/A,N/A,N/A,4,N/A
Shishito,2086,0,7/28/21,106.3,106.3,N/A,N/A,N/A,4,N/A
